"#",Lens ID,Title,Abstract,Inventors
1,178-231-622-103-543,sistema in situ para o tratamento térmico aeróbico de resíduos orgãnicos biodegradáveis,,ZAVALA MIGUEL ANGEL LOPEZ
52,199-811-771-378-586,SYSTEM FOR COLLECTING DISSIPATED ENERGY FOR ENERGIZING MACHINES.,"The present invention refers to a system for generating energy from vibrational movement produced by different elements of a vehicle. Starting from the vibrational movement generated in at least one vibration zone of the vehicle, an arrangement of piezoelectric sensors is connected thereto for collecting the generated vibrational signal and leading the same to a device for conditioning said signal, which transforms it into electric energy stored in a first battery connected in series to a second battery for being supplied with the electric energy resulting from the vibrational signal, the second battery supplying electric energy to the vehicle.",CARRILLO HECTOR RAFAEL SILLER;;SERENO RODRIGO PADILLA
53,087-900-030-775-297,TELESYSTEM FOR SUPPORTING OLDER PEOPLE VIA INTERNET.,"The present invention refers to a communication system for supporting Older people, thinking in the physical and physiological safety of them, which consists in a portable device (button) associated to a WiFi module for interconnecting sensors in the body of the Older people, including a Central Unit where the signals are monitored; alarms would be configured if required, the Older People may be communicated by voice and/or data for requesting support. This is a non-invasive system and is intended to monitor Older People at home. The invention uses the voice and data Internet technology, which enables a response before an emergency to be obtained in no more than 15 seconds, or less depending on the Internet supplier, which is quicker than using the traditional telephone service. As an additional advantage, specific conditions such as vital signs may be monitored, alarms based on the registered information may be automated; the calls frequency and the hours may also be registered in an automatic manner using the common WiFi link. The invention is designed for systems intended to support Older People in hospitals, clinics and home. In the case of a home configuration, the monitoring of the Older People is performed with a cellular phone or any other device with Internet connection such as an iPad, iPhone, Tablet, PC, based on alarm criteria established by the user itself.",SILVA VÍCTOR HUGO ZÁRATE;;MENDOZA MARIO LIMÓN
54,112-933-080-204-535,METHOD AND SYSTEM FOR SEPARATING GREY WATER IN AUTOMATIC WASHING MACHINES.,"The method and system for separating grey waters in automatic washing machines recovers up to 66% of the water used in a washing cycle. The water used in rinses containing a low concentration of detergents and dirt is diverted to a storing or grey water handling system, so as to be used in processes that do not require fresh water; this is achieved by a system of sensors, piping, and valves coupled to the washing machine and controlled by a control circuit. A flow sensor arranged at the water outlet of the automatic washing machine, is useful for sending a signal to the control system, which, along with a program routine and a period of time configured by the user through a potentiometer or the like, determines in which part of the cycle it is; depending on the cycle, the control circuit of the system will send signals to the valve to be opened or closed depending on the washing step and will controll the flow of the water discharged to the grey water drainage or sanitary drainage. Th e system has the possibility to be manually used or to be restarted in any part of the washing cycle.",BREMER MARTIN HERMANN BREMER;;RODRIGUEZ JORGE HUMBERTO PALACIOS
55,183-025-940-506-974,DOUBLE LUMEN HYPODERMIC NEEDLE FOR SUPPLYING TWO DRUGS WITH CONTRASTING EFFECT.,"Described is a hypodermic needle with two lumen parallel to the axial axis of the needle, upper and lower, which is intended to supply two drugs with contrasting effect for controlling a disease; the needle includes three different diameter sections, the first section having a constant diameter of increased size, the middle section having a first diameter coincident with that of the first section but being gradually reduced to half its size, this may produce a tilting angle with respect to the axial axis lower than 25°, which originates the upper lumen, and finally a third diameter section coincident with the first middle section with a slanted-end tip with an angle of 25°, which results in the lower lumen.",LEON SERGIO CAMACHO;;SALAZAR RUBEN RODRIGO LOPEZ;;CRUZ RICARDO ARTURO LOPEZ DE LA;;HERNANDEZ JOSE ASCENCION HERNANDEZ
56,135-362-377-407-980,VERSATILE AUTOMATED SYSTEM FOR TESTING THE QUALITY AND USEFUL LIFE OF FURNITURE.,"The invention known as VERSATILE AUTOMATED SYSTEM FOR TESTING THE QUALITY AND USEFUL LIFE OF FURNITURE refers to a machine specialized in developing quality tests for any type of chairs or sofas. The machine includes two working areas of 1500mm X 1500mm and 1800mm of height for placing the furniture to be characterized. These two areas are useful for carrying out two different tests, out of seven tests that may be developed therein, this may accelerate the process. In addition, the invention has programmable logic controllers and adjustable mechanisms for applying force which give versatility to the re-programmability machine for performing tests according to other standards or needs of the user. This versatility allows the machine to be used for verifying the quality of other type of furniture for office, home or school, specifically tables. 1.",CALDERÓN ROSALINO RODRÍGUEZ;;VACA MARTIN OSWALDO AGUILAR;;ALCALDE ROMÁN ANTONIO SALDAÑA;;TENA ALEJANDRO CENDEJAS;;ESPINOSA ALEXIS MARINO SANDÁ
57,184-171-467-315-401,METHOD FOR FUNCTIONALIZING AND DISPERSING CARBON NANOTUBES IN A MATRIX.,"The multiple-wall carbon nanotubes were oxidized and functionalized with the purpose of determining the structural and chemical changes suffered over the atomic bond thereof. The oxidation was performed in an aqueous dissolution of nitric acid (HNO3) between 50% and 70%, and sulfuric acid (H2SO4) between 80% and 95% at a temperature of from about 20°C to about 50°C. The oxidized and non-oxidized carbon nanotubes were characterized by Scanning Electron Microscopy (SEM), Fourier transform infrared spectroscopy (FTIR), Raman spectroscopy and Thermogravimetric analysis (TGA). The oxidized and non-oxidized carbon nanotubes were functionalized with silane groups 3-glicidoxi propyltrimethoxisilane or triethoxy (octil) silane and incorporated to a polymeric matrix, preferably methyl polymethacrylate (PMMA). Resistivity results are obtained, which turn the invention into nanotubes useful to be applied in microdevices, biomedical devices and industrial sensing systems.",ZUÑIGA ALEX ELIAS;;GONZALEZ CIRO ANGEL RODRIGUEZ;;CARRILLO HECTOR RAFAEL SILLER;;FERNANDEZ JOSE ANTONIO SANCHEZ
58,038-488-918-263-869,SELF-INDUCTIVE PROCESS IN VIVO FOR THE PRODUCTION OF MICROSPHERES FORMED BY A MICROALGAE CONSORTIA AND OBTAINED MICROSPHERES.,"Described is a method in vivo for the production of microspheres of microalgae which are non-cohesive and instantaneously separated from the growing medium. The aforementioned characteristics are achieved by manipulating the culturing conditions such as content of nutrients and their respective ratios, illumination, agitation speed and aeration. In such a manner, it is possible to freely induce the colonial growth of the microalgae. This may promote the formation of pellets, which structure is resistant to a humid and not too humid environment, facilitating the fast recovery of this biomass as well as the manipulation thereof for commercial applications.",SALDIVAR ROBERTO PARRA;;CHUKEN ULRICO JAVIER LOPEZ
59,161-095-504-643-054,"SYSTEM FOR QUANTIFYING, BY DIELECTROPHORESIS AND SURFACE PLASMON RESONANCE, CONCENTRATIONS OF PARTICLES IN FLUIDIC SUSPENSION AND CONTROL METHOD.","The system for quantifying, by dielectrophoresis and surface plasmon resonance, concentrations of particles in fluidic suspension and control method, comprises a coupled system of detection, quantification and manipulation of particles. The configuration of this system, as well as the operation method of the same, allows the quantification and manipulation of the particles to be reviewed to be more efficient than other state-of-the-art devices, since the use of the plasmon resonance, along with insulation structures, electrodes, all within a sample cell, allow the particles to be concentrated in a predetermined area, which contributes to an efficient analysis of the same.",CARRILLO HECTOR RAFAEL SILLER;;LOPEZ JOSE ISRAEL MARTINEZ;;CARDENAS VICTOR COELLO;;MARTINEZ RODOLFO CORTES
60,015-642-175-033-306,USE OF DIMERIC RECOMBINANT ANTIGENS PRODUCED IN ESCHERICHIA COLI FOR DETERMINING THE AMOUNT OF ANTIBODIES SPECIFIC FOR FIGHTING INFLUENZA VIRUS IN SAMPLES OF BLOOD SERUM.,"The present invention presents a novel immunological method (ELISA type) for diagnosing the presence, concentration or title of anti-Influenza A/H1N1/2009 antibodies in samples of blood serum in human subjects or animal models such as ferrets, rats, mice, amongst others. The main component of the diagnosis method is a protein, referred in the invention as dHA63-286-H1N1. Said protein is a fragment of the Hemagglutinin protein of the Influenza A H1N1/2009 virus expressed in Escherichia coli strains. In addition, the invention protects the use of recombinant antigens, which are similar in construction to the dHA63-286-H1N1 protein, so that including a dimer of the Hemagglutinin region comprised between the amino acids 63 and 286 of a specific virus of Influenza A.",ALVAREZ MARIO MOISES
61,159-240-814-543-143,COMPARTMENTALIZED CONTINUOUS MICRO-REACTORS FOR THE PRODUCTION OF BIOPHARMACEUTICALS IN OVARY CELLS OF CHINESE HAMSTER.,"The present invention refers to a group of micro-devices that a) have a plurality of cylindrical-shaped compartments obstructed by a central structure (toroidal or doughnut-type compartments); b) have a texture in the surface of the channel that promotes the cellular adherence and the retention or proliferation of the recombinant cells of the mammal, particularly but not exclusively, ovary cells of Chinese hamster; c) are fed with a culture medium in a continuous manner by some type of pumping device. This plurality of micro-devices may be used in screening applications for culturing recombinant cells of mammals, particularly but not exclusively CHO cells, or for the production of biopharmaceuticals or other recombinant proteins.",ALVAREZ MARIO MOISES;;CHACON SANDRA OZUNA;;GARCIA LUCIA D GARZA
62,048-062-358-613-633,EXTRACTS OF GUANABANA (ANNONA SPP) WITH A HIGH CONTENT OF ACETOGENINS AND THE USE OF THE OBTAINED EXTRACT IN ANTIPLATELET COMPOSITIONS.,"Scientific evidence indicates that the compounds present in the fruits of the Annona genus plants have anticarcinogenic, antitumor, antimicrobial and antiparasitic properties; as well as hypotensive (decrease in the blood pressure), vasodilator and cardiotonic (tones, balance and strengthens the heart) properties. These last three bioactivities are related to the cardiovascular health, the responsible molecules being unknown, as well as the therapeutic doses. The purpose of the invention is to extract and identify the fractions obtained from the guanabana pulp, guided by the group of mixtures that are focused on the bioactivity level of the fractions in order to detect, measure and evaluate the antiplatelet properties thereof, also reporting the effective doses and possible action mechanisms that mediate this novel effect. This invention is attractive due to the fact that the current drugs used for avoiding the platelet aggregation present more side effects than benefits at short and long terms; thus an enriched fraction of a natural source, offers important advantages over the effects of commercial drugs, in addition, said enriched fraction represents a good candidate to be used as active ingredient of food supplements which would offer improvements to patients suffering artery damage caused by blood clots.",SANCHEZ DARIANA GRACIELA RODRIGUEZ;;BRENES CARMEN HERNANDEZ;;AMIONE GUILLERMO TORRE;;RIVAS GERARDO DE JESUS GARCIA
63,089-242-583-789-294,CHANNEL CONTINUOUS MICRO-REACTORS FOR THE PRODUCTION OF BIOPHARMACEUTICALS IN OVARY CELLS OF CHINESE HAMSTER.,"The present invention refers to a group of micro-devices that a) have micro-channels with corners ranging from 70° to 110°, particularly but not exclusively those with zig-zag micro-channels; b) have a texture in the surface of the channel that promotes the cellular adherence and the retention or proliferation of the recombinant cells of the mammal, particularly but not exclusively ovary cells of Chinese hamster; c) are fed with a culture medium in a continuous manner by some type of pumping device. This plurality of micro-devices may be used in screening applications for culturing recombinant cells of mammals, particularly but not exclusively CHO cells, or for the production of biopharmaceuticals or other recombinant proteins.",ALVAREZ MARIO MOISES;;CHACON SANDRA OZUNA;;GARCÍA LUCÍA DANIELA GARZA
64,022-690-811-271-736,INTERCONNECTABLE BONE BLOCKS FOR PROSTHESIS.,"The method for manufacturing interconnectable bone blocks for prosthesis includes the use of human femoral bone in inert state as raw material obtained from a shaft with the purpose of being subsequently used in the manufacture of orthoses that fulfill the needs to cover different pathologies and provide service to companies, hospitals and surgeons that require this type of material. The present invention pertains to the technical field of methods for manufacturing interconnected bone blocks using the cortical part of the human femoral bone in inert state as a material, which is subsequently used in the manufacture of novel prostheses for orthopedic treatments as a novel product for patients with different pathologies. The current market has no product similar to the interconnected bone blocks, therefore the invention being intended to innovate by introducing a novel product useful in companies, hospitals and surgeons that require this type of materials, which provide a better quality of life to the users that need this type of prosthesis.",GONZALEZ CIRO ANGEL RODRIGUEZ;;CAVAZOS JOSE OBEDT FIGUEROA;;CARRILLO HECTOR RAFAEL SILLER
65,103-778-754-242-682,METHOD FOR CONTROLLING THE SPACING IN THE ELECTROEROSION MANUFACTURE.,"The electroerosion process uses the action of instantaneous discharges resulting from an electrode for removing material from a working piece. The main advantage of the process is that the hardness of the working piece is not important. Both electrode and piece must be electric conductors. The method for controlling the spacing in the electroerosion manufacture consists in a structured method for the decision making in the control of the position of the head that carries the electrode in an electroerosion machine, which is based on the monitoring of the potential difference between the electrode and the working piece. Four voltage states are defined: accelerate, maintain, decelerate and remove. Each state depends on the instantaneous voltage between the electrode and the piece. Depending on the current state, the method proposes an action to be performed by the movement controller of the axis that drives the machining head.",GARZA HORACIO AHUETT;;ZUÑIGA OSCAR CHAIDES
66,019-856-704-975-446,METHOD FOR CLASSIFYING BREAST CANCER LESIONS BASED ON THEIR VISUAL CONTENT AND SIMILAR HISTORICAL CASES.,"The present invention describes a method for classifying breast cancer lesions by the analysis of digital or digitized mammographies, with the purpose of obtaining the information of the visual content of the lesions and the recovery of similar historical cases with previously diagnosed pathologies, which are stored in a database, i.e., this method uses similar cases for classifying lesions into benign and malignant. Said results are presented to the final user, as a graphic justification of the response of the method for finally obtaining a feedback and taking it into consideration for a continuous improvement of the inner processes of the method, the case being stored in a database for future references.",REYES EDEN ALEJANDRO ALANIS;;MARIN HUGO TERASHIMA;;PABLOS SANTIAGO ENRIQUE CONANT
67,018-897-810-143-568,NAVIGATION BY STATISTICAL ESTIMATION APPLIED TO AD HOC NETWORKS.,"Statistical method based on the navigation by estimation that determines the localization and position of a target in ad hoc networks when the conventional forms cannot be applied due to the lack of a direct connectivity in multi-hop environments. The neighbor distribution statistics is use to determine the location of a node with a single reference base. Nowadays, there is no method for calculating the location of a target in ad hoc networks through a statistical method, thus this navigation method by statistical estimation is considered a pioneer in this field. The most important applications in which the navigation method by statistical estimation is to be used, are services based on the localization (rescue operation in remote zones, when the local coverage must be quickly displayed in a construction site or where there is no suitable infrastructure) and in different safety applications.",RODRIGUEZ DAVID MUÑOZ;;GONZALEZ VICTOR HUGO PEREZ;;RASGADO ROMAN CUEVAS
68,168-265-421-342-962,FLEXIBLE MOLDS FOR FORMING CONCRETE TEST PIECES.,"The present invention refers in a general manner, to a process for obtaining flexible vulcanized molds used for preparing test pieces intended to determine the thermal properties of materials with phase changes to solid, such as: mortar, concrete, water, rubber, silicon, muds, alone or with additives in order to determine the thermal properties thereof. Said process for the manufacture of molds comprises the following steps: pouring in a negative mold, a catalyst suspension and silicon rubber for uniformly distributing the suspension; then resting the suspension so that this suspension poured into the negative mold is changed to the solid phase; and finally removing the negative mold for obtaining a flexible vulcanized master mold.",FERNANDEZ JOSE ANTONIO SANCHEZ;;PULIDO ANDRES ALBERTO VILLA;;PULIDO ANA LUCIA VILLA
69,009-188-220-276-549,LOW CUTTING FORCE BIOREACTOR FOR CULTURING MICROORGANISMS SENSITIVE TO MECHANICAL STRESS.,"The low cut force bioreactor of the present invention includes: a cylinder tank (1), which inner portion includes a mixing system at the central portion of the same, partitions being fixed to the wall and separated from the driving blades of the mixing system. The bioreactor has reinforcement for resisting the hydrostatic pressure of the inner portion thereof. The upper cap of the bioreactor comprises the devices for performing the gas exchange from the inner portion of the bioreactor to the atmosphere, also including sensors for monitoring and controlling the operation conditions. Additionally, the bottom of the reactor is enabled to allow the inlet of light from the lower portion thereof, where said source of light is external and arranged at a predetermined distance.",SALDIVAR ROBERTO PARRA;;CHUKEN ULRICO JAVIER LOPEZ
70,089-472-052-175-625,QUINTIC METHOD FOR SOLVING NONLINEAR DIFFERENTIAL EQUATIONS.,"The method for solving nonlinear physical models that characterize the behavior of a physical magnitude in the time domain, in particular, is a method that replaces the restoring force of the system by an equivalent force, which representation is given by a cubic-quintic polynomial . Generally, the characteristics of the model are complex, so that the present method replaces the original problem by an equivalent one which solution is already known. The method may be implemented in an electronic device which comprises a processor operatively coupled by a common conductor to means for visualizing numeric data, such as a screen; means for storing numeric values, such as a memory module of random access able to store the collection of data obtained by any receptor means, such as a storing means or an electronic keyboard.",GONZALEZ CIRO ANGEL RODRIGUEZ;;CARRILLO HECTOR RAFAEL SILLER;;ZUÑIGA ALEX ELIAS;;ROMERO OSCAR MARTINEZ
71,073-411-022-962-724,SOUND-BASED DIGITAL SPIROMETER.,"The purpose of the invention is to provide a spirometer useful for determining the specific relationship of the behavior of the volumetric air flow with regard to a sound signal, the control method consisting in the volumetric air flow associated to the sound properties, the development of an air flow generator for emulating the natural or artificial pattern. The processing of transduction, the acquisition and signal are required for determining the specific relationship of the signal and applying the same in the development of a prototype of a digital spirometer.",RAMIREZ JORGE ARMANDO CORTES;;ESCOBEDO DULCE MARIA ZURITA
72,109-402-740-419-97X,ARRANGEMENT OF BARS AND MONOBLOCKS IN OPPOSED-PISTON ENGINE.,"The invention relates to a monoblock in an opposed-piston engine, and the system of bars for passing the mechanical energy of two output crankshafts to a common crankshaft so as to be assembled in the conventional transmission of an automobile. Described is an arrangement of bars, crankshafts and monoblocks in an opposed-piston engine, which is characterized in that the monoblock presents 2 parallel chambers, the end portions of each monoblock receiving a piston, thus obtaining an arrangement of four pistons, which are all connected through a crankshaft and bars arrangement to another crankshaft, this latter element receiving the alternate movement of the piston arrangement; where each chamber is surrounded by a channel through which a refrigerant fluid is flowed.",CARRILLO HECTOR RAFAEL SILLER;;SERENO RODRIGO PADILLA
73,182-694-369-258-79X,ECOLOGICAL HERMETIC SILO FOR STORING GRAIN AND SEEDS.,"The present invention provides an ecological hermetic device made of compressed and laminated paperboard, with six inner protective layers, with an inner plasticized cover and able to be recycled, which is intended to store grains and seed; said device provides models from 200 cc to 2500 cc and is designed to operate under semi-all-weather conditions allowing the grain to be stored for periods ranging from 6 to 24 months. Particularly, said device is formed by a container for storing, under a controlled atmospheric pressure, humidity and gas concentration, a predetermined amount of grains and seeds; the cylindrical-shaped container has an outlet cap or gate for removing the grain that is located in the base thereof and which has the function to remove the grain in the form of a seed or in bulk; an upper cap of the container; an inlet cap or gate for introducing the grain intended to introduce the grain in the form of a seed or in bulk; a container base, which has the double function of a) supporting the container and the upper cap thereof; and b) supporting and confining the grains and seeds; and an inner plastic or plasticized cover, having a cylindrical shape and made of polyethylene for storing, under a controlled atmospheric pressure, humidity and gas concentration, a predetermined amount of grains and seeds.",LARA SILVERIO GARCIA;;ISLAS SOFIA ORTIZ
74,048-231-476-674-36X,"SELF-CONSTRUCTION STRUCTURAL SYSTEM, WHICH IS LIGHT, MODULAR AND FLEXIBLE FOR LIVING SPACES.","The self-construction structural system presents a different form of construction, which is affordable and efficient as it does not require specialized manpower, thus avoiding the generation of residues or wastes; the prefabrication of the pieces of the present system are assembled by screws and different wall and ceiling systems, including modules for forming rooms which simultaneously form the housing. The self-construction structural system which is light, modular and flexible for living spaces comprises at least five parallel columns that form a rectangular cubic prism in which four walls are distinguished; an upper structure for attaching the columns that has a quadrangular shape with cross beams acting as a ceiling support; at least a couple of fixing beams with the same length for attaching by the upper end portion thereof two columns in parallel; a lower structure formed by at least four beams that define a quadrangular structure, which are useful for attaching the five column s at a predetermined height from the floor.",VASQUEZ PEDRO DAMIAN PACHECO;;GARZA LUIS ALEJANDRO ARCOS
75,149-037-623-578-494,ARTIFICIAL OLFACTORY METHOD AND SYSTEM.,"The invention relates to a biologically inspired artificial olfactory method and system designed in such a way that it has at least one partition with at least two nostrils, each nostril being designed with particular characteristics. This artificial nose allows the detection of the direction of origin of a smell. The partition is used to separate the air flows outside the olfactory system. In this way, the environment can be measured in two different positions at the same time. These measurements reflect different reaction times and concentrations, and can therefore be used to calculate the direction of origin of the smell. Each nostril has an air chamber that allows the performance of the main biological processes that take place inside the nose. These processes are: inhalation, division, conduction, sensing, processing, transformation of air or filtering of smells and expulsion.",MOSCOSO JOSE LUIS GORDILLO;;GUERRA BLANCA LORENA VILLARREAL
76,015-925-668-588-035,METHOD FOR OBTAINING POROUS HOLLOW FIBRES HAVING MOLECULARLY IMPRINTED SPHERES EMBEDDED THEREIN AND MODULAR DEVICE FORMED BY THE RESULTING FIBRES.,"The invention relates to a method for obtaining porous hollow fibres having molecularly imprinted spheres embedded therein, said method comprising the steps of: simultaneously and independently injecting a doping solution and a pore forming solution into an extrusion die; extruding or spinning porous hollow fibres; coagulating the porous hollow fibres that leave step (b) in an aqueous solution with an aqueous solution having a temperature between 15 DEG C -25 DEG C; winding the flexible porous hollow fibres coagulated in step (c); leaving them to dry and storing same under vacuum conditions. The resulting porous hollow fibres are used to form filtration modules in which a plurality of fibres are disposed longitudinally and in parallel. The filtration modules can be assembled together to form filtering devices intended, in a preferred example, for gradual blood purification and the subsequent qualitative and/or quantitative identification of the molecules retained in the first filter o f each filtering module. The invention also relates to the operating method of the filtering device.",RAMIREZ JORGE ARMANDO CORTES;;FLORES DENNISE ALEJANDRA MURGUIA;;RIOS JAIME BONILLA
77,040-668-988-081-542,MODULAR THERMAL INSULATION SYSTEM FOR BUILDINGS.,"The invention relates to a modular thermal insulation system based on a mixture of organic and inorganic compounds, shaped to reduce heat transfer between the building interior and the exterior. The system based on a mixture of organic and inorganic compounds consists of a prismatic rigid planar container formed by a plastic material, a metal material or a combination of both and containing a first layer in the form of a porous mixture of organic and inorganic compounds that is located on an anchoring base structure formed by at least: a film of plastic resins disposed on top of a thermal insulating material forming the layer that is in contact with a rigid base, as well as a set of anchoring elements, and a set of elements for increasing the distance between the base element and the ceiling or wall.",SALDIVAR ROBERTO PARRA;;FOLGUERAS JOSE RODRIGO SALMON;;SORIANO PAMELA DEL CARMEN DURAN;;SANCHEZ MIGUEL ANGEL DE JESUS FLORES;;GUERRA ANDRES MARCELO COTES
78,141-856-807-563-893,HYBRID COMMUNICATION SYSTEM USING WIRELESS/ELECTRIC CABLE COMMUNICATION AND INTELLIGENT TRANSPORT SYSTEMS.,"The hybrid communication system using wireless/electric cable communication and intelligent transport systems comprises an Internet Service platform for providing the service to the users; a public lighting platform for transmitting the signal from the service platform to a wireless communication component that is located in the poles of the public lightening platform and through which the signal is sent to the final user. The present invention is intended to provide a hybrid communication system useful for avoiding the need of an automobile to communicate with an alert service supplier for reporting risky situations in the road or for Internet communication or entertainment or for asking for help. The hybrid communication system by PLC wireless/electric cable communication and Intelligent Transport systems (ITS) uses the technical advantages of both systems, then being suitable to be developed in urban and rural environments, for all type of vehicles that have the technology for work ing in an ITS environment. The invention provides a different alternative for providing this type of services in areas with no current coverage.",RODRIGUEZ DAVID MUÑOZ;;ALCALA JOSE FRANCISCO FLORES
79,095-686-251-519-137,AUTOMATIC RETRACTABLE LOADING/UNLOADING RAMP.,"It is sometimes necessary to move goods or people from one plane to another, for example, to lift a load onto a pick-up truck, to load a van with miscellaneous materials or to enable a person in a wheelchair to go up steps using a ramp that is placed over the steps. For this purpose, the invention provides an automatic loading/unloading ramp that is compact and easy to install. In addition to being automatic, once installed, the ramp can be controlled remotely. The ramp is easy to control and maintain given that it only requires a motor and a simple pulley and rail system. Finally, since the length of the ramp can be varied, the angle of the final slope of the ramp can be modified, so that it can be more or less steep depending on the intended use or the space available.",RAMOS MARCO POLO CRUZ;;MOSCOSO JOSE LUIS GORDILLO;;GARCIA SERGIO OMAR MARTINEZ;;FRAICHARD THIERRY
80,028-108-952-542-773,DOUBLE-FLOW SOLAR COLLECTOR.,"The present patent application is intended to provide a double-flow solar collector The invention includes a first and a second tube grid, where the tubes are attached by one end portion thereof to a shared head, so that the tubes of the first and second grid are interlaced and present the same length, the tubes of the first grid being connected by the free end portion to a first head, and the tubes of the second grid being connected by the free end portion to a second head, both being arranged in a parallel relationship and aligned therebetween; a metallic wavy reflecting plate is arranged between the grids, so that the tubes of the first grid are directed towards the upper waves of the first wavy plate and the tubes of the second grid are directed towards the lower waves of the first wavy plate; the first head has a water inlet resulting from a storing tank and as many orifices as tubes in the first grid and aligned therewith, the shared head having as many inlet orifices as tubes i n the first grid and as many outlet orifices as tubes in the second grid, and the second head comprising as many inlet orifices as tubes in the second grid, and an outlet leading to a water inlet in the storing tank.",FOLGUERAS JOSE RODRIGO SALMON;;SERRANO JUAN CARLOS MEDINA;;DOMINGUEZ EUNICE PEREZ;;RIOS RICARDO ELIZALDE
81,112-826-090-451-237,COLUMN PHOTOBIOREACTOR INTEGRAL WITH DEFLECTORS.,"The column photobioreactor integral with deflectors allows cyanobacteria or microalgae to grow due to the increase of aeration in the culture medium, which comprises: a column with an inlet in the upper portion thereof which results from the first tank, and an outlet located in the lower portion thereof that is intersected wit the second tank; where the column is formed by a plurality of aeration chambers, a truncated cone structure, a deflector, a beam and at least two filters arranged in the inner portion thereof. The column photobioreactor is useful for culturing cyanobacteria and autotrophic microorganisms for obtaining biomass, which may be applied in the nutraceutical, cosmetic and/or food industry.",SOLORIO CARLOS IVAN RIVERA;;SALDIVAR ROBERTO PARRA;;ANGELES LEONEL PEÑA;;FLORES LUISALDO SANDATE;;FOLGUERAS JOSÉ RODRIGO SALMÓN;;OLIVEIRA GRACINEIA SPIRANDELLI FRIAS DE;;GARCIA MARIA DEL SOCORRO ANGEL
82,096-479-291-763-454,MÉTODO PARA PRODUZIR UM PRODUTO DE XAROPE INVERTIDO A PARTIR DE SUCO DE CANA-DE-AÇÚCAR BRUTO,,SERNA-SALDIVAR SERGIO R;;RITO-PALOMARES MARCO A
83,118-410-419-671-50X,DRIVING SYSTEM BASED ON 2 ELECTRIC MOTORS AND METHOD FOR CONTROLLING THE SAME.,"A driving system based on an energy module for supplying a driving module intended to rotate bearing means, this system being formed by two motors that supply power through a first differential, which is connected directly to other differential that transmits the energy to the output axes towards the bearing means. Braking elements are located between each motor and the differential, which allow the system to be operated by any of the two motors in case of failure or as an operation mode of higher efficiency. The operation of the motors is controlled by an electronic control unit, which decides the optimum combination with regard to the rate efficiency in both motors for obtaining the corresponding rate output. This unit may also control the operation of the braking elements. The driving module is enclosed in an integrated arrangement that favors the interface thereof with other modules as part of a modular vehicle.",GARZA HORACIO AHUETT;;CORONADO PEDRO DANIEL URBINA
84,013-907-592-557-053,METHOD FOR PRODUCING POROUS MEMBRANES OF CHITOSAN AND CHITOSAN POROUS MEMBRANES.,"The present invention refers to a process for the synthesis of chitosan porous membranes by means of a process that does not require the use of the vacuum dry method commonly applied. The process consists in reacting NaHCO3 with organic acid present in the chitosan solution, for example, acetic acid. Said reaction generates CO2, which produces bubbles in the mixture which are trapped due to the high viscosity thereof. The reaction is subsequently introduced in a furnace for drying and trapping the bubbles, in order to form a plurality of porosities in the sample. Once the sample is dried it is submerged into hot water so as to turn the membrane into a water insoluble membrane and remove the rests of NaHCO3 and sodium acetate from the reaction. Finally it is washed with cold distilled water.",RAMIREZ JORGE ARMANDO CORTES;;INGRAM ROCIO GOSCH
85,144-290-268-458-822,DIELECTRIC MINERAL OIL CONDITIONED WITH GRAPHENE NANOFLAKES,"The invention relates to a dielectric mineral oil composition for a transformer, formed by at least one dielectric mineral oil and graphene nanoflakes decorated with metal nanoparticles and/or ceramic nanoparticles. The dielectric mineral oil composition has improved thermal conductivity and stability.",RAMON RAYGOZA EDGAR DAVID;;RIVERA SOLORIO CARLOS IVAN;;GIMENEZ TORRES ENRIQUE
86,109-563-026-742-128,SOLAR DISTILLATION SYSTEM AND OPERATION PROCESS THEREOF.,"The present patent application provides a solar distillation system and the process for operating the same, which is intended to use the solar energy in a continuous manner or by batches in multicomponent mixtures of substances of different relative volatility, such as ethanol-water. Said system comprises at least a base distillation circuit coupled to a heating circuit, the base distillation circuit may be optionally coupled to a final purification circuit. The base distillation circuit is mainly formed by at least two towers of sequential distillation, the fact of increasing the number of distillation towers results in an obtained product with a higher concentration. The process for operating the distillation system, in a general manner comprises the phases of: a) start-up, where the operation conditions are determined, b) continuous distillation and c) process stop. The present system has been used for separating mixtures of ethanol-water resulting from the fermentation process, in which the product introduced into the system is rich in water ((~93% by weight), and the product removed from the solar distillation system is rich in ethanol ((~95% by weight). The demand of energy required by the process using the inventive solar distillation system is supplied by the solar energy, thereby the proposed system being an efficient alternative from the energetic perspective (energetic integration) and feasible from the economic perspective.",CUELLAR ALEJANDRO JAVIER GARCIA;;SOLORIO CARLOS IVAN RIVERA;;BAUTISTA JUAN PABLO VARGAS;;GARCÍA SANTIAGO LEONEL PÉREZ
